Instrument,Qty,Price,LTP,Cur. Value,P&L,Net Chg.,Day Chg.,
CIPLA,10,1429.13,1348.2,13482,-809.3,-5.66%,0.00%,
ICICIAMC,6,2165,3112.1,18672.6,5682.6,43.75%,0.00%,
GANESHHOU,20,968.85,671.7,13434,-5943,-30.67%,0.00%,
TCS,11,3587.71,2637.4,29011.4,-10453.41,-26.49%,0.00%,
MON100,41,232.09,225.19,9232.79,-282.9,-2.97%,0.00%,
BSE,2,2732,2707.1,5414.2,-49.8,-0.91%,0.00%,
TMCV,25,295.28,505.3,12632.5,5250.5,71.13%,0.00%,
IRCTC,35,869.55,569.54,19933.9,-10500.35,-34.50%,0.00%,
SILVERBEES,148,225.78,252.81,37415.88,4000.44,11.97%,0.00%,
HDFCBANK,60,760.47,887.75,53265,7636.8,16.74%,0.00%,
HAL,15,4666.84,3913.2,58698,-11304.6,-16.15%,0.00%,
VBL,20,543.98,451.4,9028,-1851.6,-17.02%,0.00%,
MAZDOCK,10,2162.5,2224.9,22249,624,2.89%,0.00%,
ADANIPORTS,30,1305.01,1521,45630,6479.7,16.55%,0.00%,
TRENT,10,4685.61,3899.5,38995,-7861.1,-16.78%,0.00%,
GOLDBEES,45,121.07,131.6,5922,473.85,8.70%,0.00%,
LIQUIDBEES,160.66,1000.01,999.99,160658.3934,-3.21,0.00%,0.00%,
SMALL250,23,16,15.9,365.7,-2.3,-0.63%,0.00%,
ASTRAL,25,1823.14,1667.9,41697.5,-3881,-8.51%,0.00%,
TRUALT,25,442.45,401.4,10035,-1026.25,-9.28%,0.00%,
TMPV,25,652.64,382.65,9566.25,-6749.75,-41.37%,0.00%,
IREDA,100,150.51,122.25,12225,-2826,-18.78%,0.00%,
ANANTRAJ,30,537.46,529.79,15893.7,-230.1,-1.43%,0.00%,
WAAREEENER,10,2189.69,2709.3,27093,5196.1,23.73%,0.00%,
BAJAJHFL,50,119.67,87.04,4352,-1631.5,-27.27%,0.00%,
JIOFIN,155,327.66,255.4,39587,-11200.3,-22.05%,0.00%,
NHPC,125,93.9,75.33,9416.25,-2321.25,-19.78%,0.00%,
AWHCL,2,530.25,494.5,1060.5,989,-71.5,-6.74,-2.96
ECORECO,1,491.6,384.75,491.6,384.75,-106.85,-21.74,-0.26
EPACKPEB,2,246.78,179.21,493.55,358.42,-135.13,-27.38,-0.52
NATPLASTI,1,245,240,245,240,-5,-2.04,-0.52
SETL,1,148.65,124.75,148.65,124.75,-23.9,-16.08,1.64
TDPOWERSYS,1,720.3,903.55,720.3,903.55,183.25,25.44,2.46
